attraction,type,location,park,height_in,height_cm
Autopia (Alone),Ride,Disneyland - Anaheim,Disneyland,54,137
Autopia (w/ Adult),Ride,Disneyland - Anaheim,Disneyland,32,81
Gadget's Go Coaster,Ride,Disneyland - Anaheim,Disneyland,35,88
Millennium Falcon: Smugglers Run,Ride,Disneyland - Anaheim,Disneyland,38,96
Big Thunder Mountain Railroad,Ride,Disneyland - Anaheim,Disneyland,40,101
Space Mountain,Ride,Disneyland - Anaheim,Disneyland,40,101
Splash Mountain,Ride,Disneyland - Anaheim,Disneyland,40,101
Star Tours,Ride,Disneyland - Anaheim,Disneyland,40,101
Star Wars: Rise of the Resistance,Ride,Disneyland - Anaheim,Disneyland,40,101
Matterhorn Bobsleds,Ride,Disneyland - Anaheim,Disneyland,42,106
Indiana Jones Adventure,Ride,Disneyland - Anaheim,Disneyland,46,116
Alice in Wonderland,Ride,Disneyland - Anaheim,Disneyland,0,0
Astro Orbitor,Ride,Disneyland - Anaheim,Disneyland,0,0
Buzz Lightyear Astro Blasters,Ride,Disneyland - Anaheim,Disneyland,0,0
Casey Jr. Circus Train,Ride,Disneyland - Anaheim,Disneyland,0,0
Davy Crockett's Explorer Canoes,Ride,Disneyland - Anaheim,Disneyland,0,0
The Disney Callery,Other,Disneyland - Anaheim,Disneyland,0,0
Disneyland Monorail,Ride,Disneyland - Anaheim,Disneyland,0,0
Disneyland Railroad,Ride,Disneyland - Anaheim,Disneyland,0,0
The Disneyland Story presenting Great Moments with Mr. Lincoln,Other,Disneyland - Anaheim,Disneyland,0,0
Dumbo the Flying Elephant,Ride,Disneyland - Anaheim,Disneyland,0,0
Finding Nemo Submarine Voyage,Ride,Disneyland - Anaheim,Disneyland,0,0
Fortune Tellers,Other,Disneyland - Anaheim,Disneyland,0,0
Frontierland Shootin' Exposition,Other,Disneyland - Anaheim,Disneyland,0,0
Haunted Mansion,Ride,Disneyland - Anaheim,Disneyland,0,0
it's a small world,Ride,Disneyland - Anaheim,Disneyland,0,0
Jungle Cruise,Ride,Disneyland - Anaheim,Disneyland,0,0
King Arther Carrousel,Ride,Disneyland - Anaheim,Disneyland,0,0
Mad Tead Party,Ride,Disneyland - Anaheim,Disneyland,0,0
Main Street Cinema,Other,Disneyland - Anaheim,Disneyland,0,0
Main Street Vehicles,Other,Disneyland - Anaheim,Disneyland,0,0
The Many Adventures of Winnie the Pooh,Ride,Disneyland - Anaheim,Disneyland,0,0
Mark Twain Riverboat,Ride,Disneyland - Anaheim,Disneyland,0,0
Mr. Toad's Wild Ride,Ride,Disneyland - Anaheim,Disneyland,0,0
Peter Pan's Flight,Ride,Disneyland - Anaheim,Disneyland,0,0
Pinocchio's Daring Journey,Other,Disneyland - Anaheim,Disneyland,0,0
Pirate Lair on Tom Sawyer Island,Other,Disneyland - Anaheim,Disneyland,0,0
Pirates of the Caribbean,Ride,Disneyland - Anaheim,Disneyland,0,0
Sailing Ship Columbia,Other,Disneyland - Anaheim,Disneyland,0,0
Sleeping Beauty Castle Walkthrough,Other,Disneyland - Anaheim,Disneyland,0,0
Snow White's Enchanted Wish,Ride,Disneyland - Anaheim,Disneyland,0,0
Storybook Land Canal Boats,Ride,Disneyland - Anaheim,Disneyland,0,0
Tarzan Treehouse,Other,Disneyland - Anaheim,Disneyland,0,0
Walt Disney's Enchanted Tiki Room,Other,Disneyland - Anaheim,Disneyland,0,0
Chip 'n Dale's Treehouse,Other,Disneyland - Anaheim,Disneyland,0,0
Donald's Boat,Other,Disneyland - Anaheim,Disneyland,0,0
Goofey's Playhouse,Other,Disneyland - Anaheim,Disneyland,0,0
Mickey's House,Other,Disneyland - Anaheim,Disneyland,0,0
Minnie's House,Other,Disneyland - Anaheim,Disneyland,0,0
Rodger Rabbit's Cartoon Spin,Ride,Disneyland - Anaheim,Disneyland,0,0
Star Wars Launch Bay,Other,Disneyland - Anaheim,Disneyland,0,0
Mater's Junkyard Jamboree,Ride,Disneyland - Anaheim,California Adventure,32,81
Luigi's Rollickin' Roadsters,Ride,Disneyland - Anaheim,California Adventure,32,81
Jumpin' Jellyfish,Ride,Disneyland - Anaheim,California Adventure,40,101
Guardians of the Galaxy - Mission: BREAKOUT!,Ride,Disneyland - Anaheim,California Adventure,40,101
Radiator Springs Racers,Ride,Disneyland - Anaheim,California Adventure,40,101
Silly Symphony Swings (Tandem),Ride,Disneyland - Anaheim,California Adventure,40,101
Soarin' Around The World,Ride,Disneyland - Anaheim,California Adventure,40,101
Goofy's Sky School,Ride,Disneyland - Anaheim,California Adventure,42,106
Grizzly River Run,Ride,Disneyland - Anaheim,California Adventure,42,106
Redwood Creek Challenge Trail (Rock Wall & Zip Line),Other,Disneyland - Anaheim,California Adventure,42,106
Incredicoaster,Ride,Disneyland - Anaheim,California Adventure,48,121
Silly Symphony Swings (Single),Ride,Disneyland - Anaheim,California Adventure,48,121
Animation Academy,Other,Disneyland - Anaheim,California Adventure,0,0
Bakery Tour,Other,Disneyland - Anaheim,California Adventure,0,0
Games of Pixar Pier,Other,Disneyland - Anaheim,California Adventure,0,0
Golden Zephyr,Ride,Disneyland - Anaheim,California Adventure,0,0
Inside Out Emotional Whirlwind,Ride,Disneyland - Anaheim,California Adventure,0,0
Jessie's Critter Carousel,Ride,Disneyland - Anaheim,California Adventure,0,0
The Little Mermaid,Ride,Disneyland - Anaheim,California Adventure,0,0
Mickey's PhilharMagic,Other,Disneyland - Anaheim,California Adventure,0,0
"Monster's, Inc. Mike & Sulley to the Rescue!",Ride,Disneyland - Anaheim,California Adventure,0,0
Pixar-Pal-Around  (Ferriswheel),Ride,Disneyland - Anaheim,California Adventure,0,0
Red Car Trolley,Other,Disneyland - Anaheim,California Adventure,0,0
Redwood Creek Challenge Trail (Not Rock Wall or Zip Line),Other,Disneyland - Anaheim,California Adventure,0,0
Sorcerer's Workshop,Other,Disneyland - Anaheim,California Adventure,0,0
Toy Story Midway Mania,Ride,Disneyland - Anaheim,California Adventure,0,0
Turtle Talk with Crush,Other,Disneyland - Anaheim,California Adventure,0,0
WEB SLINGERS: A Spider-Man Adventure,Ride,Disneyland - Anaheim,California Adventure,0,0
Astro Orbiter,,Disney World,Magic Kingdom,0,
The Barnstormer,,Disney World,Magic Kingdom,35,
Big Thunder Mountain Railroad,,Disney World,Magic Kingdom,40,
Buzz Lightyear's Space Ranger Spin,,Disney World,Magic Kingdom,0,
Casey Jr. Splash 'N' Soak Station,,Disney World,Magic Kingdom,0,
Country Bear Jamboree,,Disney World,Magic Kingdom,0,
Dumbo the Flying Elephant,,Disney World,Magic Kingdom,0,
Enchanted Tales with Belle,,Disney World,Magic Kingdom,0,
Frontierland Shootin' Arcade,,Disney World,Magic Kingdom,0,
The Hall of Presidents,,Disney World,Magic Kingdom,0,
Haunted Mansion,,Disney World,Magic Kingdom,0,
it's a small world,,Disney World,Magic Kingdom,0,
Jungle Cruise,,Disney World,Magic Kingdom,0,
Liberty Square Riverboat,,Disney World,Magic Kingdom,0,
Mad Tead Party,,Disney World,Magic Kingdom,0,
The Magic Carpets of Aladdin,,Disney World,Magic Kingdom,0,
The Many Adventures of Winnie the Pooh,,Disney World,Magic Kingdom,0,
Mickey's PhilharMagic,,Disney World,Magic Kingdom,0,
"Monsters, Inc. Laugh Floor",,Disney World,Magic Kingdom,0,
Peter Pan's Flight,,Disney World,Magic Kingdom,0,
A Pirate's Adventure - Treasures of the Seven Seas,,Disney World,Magic Kingdom,0,
Pirates of the Caribbean,,Disney World,Magic Kingdom,0,
Prince Charming Regal Carrousel,,Disney World,Magic Kingdom,0,
Seven Dwarfs Mine Train,,Disney World,Magic Kingdom,38,
Space Mountain,,Disney World,Magic Kingdom,44,
Splash Mountain,,Disney World,Magic Kingdom,40,
Swiss Family Treehouse,,Disney World,Magic Kingdom,0,
Tomorrowland Speedway,,Disney World,Magic Kingdom,32,
Tomorrowland Transit Authority PeopleMover,,Disney World,Magic Kingdom,0,
Tom Sawyer Island,,Disney World,Magic Kingdom,0,
Under the Sea - Journey of the Little Mermaid,,Disney World,Magic Kingdom,0,
Walt Disney's Carousel of Progress,,Disney World,Magic Kingdom,0,
Walt Disney's Enchanted Tiki Room,,Disney World,Magic Kingdom,0,
Walt Disney World Railroad,,Disney World,Magic Kingdom,0,
Advanced Training Lab,,Disney World,Epcot,0,
The American Adventure,,Disney World,Epcot,0,
Disney & Pixar Short Film Festival,,Disney World,Epcot,0,
Frozen Ever After,,Disney World,Epcot,0,
Gran Fiesta Tour Starring The Three Caballeros,,Disney World,Epcot,0,
Guardians of the Galaxy: Cosmic Rewind,,Disney World,Epcot,42,
Impressions de France,,Disney World,Epcot,0,
Journey Into Imagination With Figment,,Disney World,Epcot,0,
Living with the Land,,Disney World,Epcot,0,
Mission: SPACE,,Disney World,Epcot,40,
O Canada!,,Disney World,Epcot,0,
Reflections of China,,Disney World,Epcot,0,
Remy's Ratatouille Adventure,,Disney World,Epcot,0,
The Seas with Nemo & Friends,,Disney World,Epcot,0,
Soarin' Around The World,,Disney World,Epcot,40,
Spaceship Earth,,Disney World,Epcot,0,
Test Track,,Disney World,Epcot,40,
Turtle Talk with Crush,,Disney World,Epcot,0,
Alien Swirling Saucers,,Disney World,Hollywood Studios,32,
Mickey & Minnie's Runaway Railway,,Disney World,Hollywood Studios,0,
Millennium Falcon: Smugglers Run,,Disney World,Hollywood Studios,38,
Muppet*Vision 3D,,Disney World,Hollywood Studios,0,
Rock 'n' Roller Coaster Starring Aerosmith,,Disney World,Hollywood Studios,48,
Slinky Dog Dash,,Disney World,Hollywood Studios,38,
Star Tours - The Adventures Continue,,Disney World,Hollywood Studios,40,
Star Wars: Rise of the Resistance,,Disney World,Hollywood Studios,40,
Toy Story Mania!,,Disney World,Hollywood Studios,40,
The Twighlight Zone Tower of Terror,,Disney World,Hollywood Studios,40,
Affection Section,,Disney World,Animal Kingdom,0,
Avatar Flight of Passage,,Disney World,Animal Kingdom,44,
The Boneyard,,Disney World,Animal Kingdom,0,
Conservation Station,,Disney World,Animal Kingdom,0,
DINOSAUR,,Disney World,Animal Kingdom,40,
Discovery Island Trails,,Disney World,Animal Kingdom,0,
Expedition Everest - Legend of the Forbidden Mountain,,Disney World,Animal Kingdom,44,
Gorilla Falls Exploration Trail,,Disney World,Animal Kingdom,0,
It's Tough to be a Bug!,,Disney World,Animal Kingdom,0,
Kali River Rapids,,Disney World,Animal Kingdom,38,
Kilimanjaro Safaris,,Disney World,Animal Kingdom,0,
Maharajah Jungle Trek,,Disney World,Animal Kingdom,0,
Na'vi River Journey,,Disney World,Animal Kingdom,0,
Tree of Life,,Disney World,Animal Kingdom,0,
TriceraTop Spin,,Disney World,Animal Kingdom,0,
Wildlife Express Train,,Disney World,Animal Kingdom,0,
